"Location","String Value","String Representation","Data Type"
"102c967b1","GEORGE","\"GEORGE\"","ds"
"102c967b8","PHIL","\"PHIL\"","ds"
"102c967bd","OSCAR","\"OSCAR\"","ds"
"102c967c3","WILLEM","\"WILLEM\"","ds"
"102c967ca","CARL","\"CARL\"","ds"
"102c967cf","RUFUS","\"RUFUS\"","ds"
"102c967d5","RAMI","\"RAMI\"","ds"
"102c967da","RICK","\"RICK\"","ds"
"102c967df","LOUIE","\"LOUIE\"","ds"
"102c967e5","BRANDON","\"BRANDON\"","ds"
"102c967ed","EARL","\"EARL\"","ds"
"102c967f2","CHARLIE","\"CHARLIE\"","ds"
"102c967fa","RICHTER","\"RICHTER\"","ds"
"102c96802","JONES","\"JONES\"","ds"
"102c96808","PETER","\"PETER\"","ds"
"102c9680e","NIGEL","\"NIGEL\"","ds"
"102c96814","NO PERKS","\"NO PERKS\"","ds"
"102c9681d","FISTS OF FURY","\"FISTS OF FURY\"","ds"
"102c9682b","LETHAL DOORS","\"LETHAL DOORS\"","ds"
"102c96838","BRING SHOTGUN","\"BRING SHOTGUN\"","ds"
"102c96846","LETHAL THROWS","\"LETHAL THROWS\"","ds"
"102c96854","RUN FASTER","\"RUN FASTER\"","ds"
"102c9685f","START WITH KNIFE","\"START WITH KNIFE\"","ds"
"102c96870","DOGS DON'T ATTACK","\"DOGS DON'T ATTACK\"","ds"
"102c96882","LONGER COMBO WINDOW","\"LONGER COMBO WINDOW\"","ds"
"102c96896","LOOK FURTHER","\"LOOK FURTHER\"","ds"
"102c968a3","DARKNESS","\"DARKNESS\"","ds"
"102c968ac","RIP AND STEAL","\"RIP AND STEAL\"","ds"
"102c968ba","START WITH DRILL","\"START WITH DRILL\"","ds"
"102c968cb","SURVIVE THREE BULLETS","\"SURVIVE THREE BULLETS\"","ds"
"102c968e1","GET MORE AMMO","\"GET MORE AMMO\"","ds"
"102c968ef","GOOD SHOT","\"GOOD SHOT\"","ds"
"102c968f9","HARD TO SPOT","\"HARD TO SPOT\"","ds"
"102c96906","RUN FASTEST","\"RUN FASTEST\"","ds"
"102c96912","SILENCED UZI","\"SILENCED UZI\"","ds"
"102c9691f","MORE GORE","\"MORE GORE\"","ds"
"102c96929","QUIET SHOTS","\"QUIET SHOTS\"","ds"
"102c96935","REVERSED CONTROLS","\"REVERSED CONTROLS\"","ds"
"102c96947","\Dust.mp3","\"\\Dust.mp3\"","ds"
"102c96951","LEFT CLICK AND DRAG TO DRAW INDOOR AREAS#RIGHT CLICK TO FINISH","\"LEFT CLICK AND DRAG TO DRAW INDOOR AREAS#RIGHT CLICK TO FINISH\"","ds"
